"Country Name","Country Code","Series","Series Code","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"2019",
"Bahrain","BHR","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","9.41735","9.41479","9.51731","9.75421","10.07249","10.0264","9.99747","10.06087","10.20737","10.36722","10.65822","11.05315","","","13.03348","13.47315","13.04511","13.13936","","","13.60251","13.32565","13.58314","13.59846","13.69696","13.6156","","","13.25188","","","","13.55492","","13.08207","13.21132","","","","","13.58513","13.35527","13.52022","13.68833","15.99202","16.34917","16.41513","16.25482","",
"Bangladesh","BGD","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","5.37612","","","5.40277","5.12692","","5.01595","5.07243","4.80911","","5.26432","5.26034","5.14973","5.10511","5.05788","5.60989","5.59843","5.8323","","","","","","","","","","","","","","","8.69213","8.81744","8.86253","8.65141","9.22451","","","","","","","","11.59809","12.03561","",
"Barbados","BRB","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","10.97669","10.96896","11.09317","10.76669","","","","","","","11.91462","11.95924","","12.57866","12.97836","","","","13.17192","12.77293","","","","","","","","","14.00025","14.03751","13.98322","","","","","","15.24675","","15.83258","15.47286","15.28595","","","","","","","","",
"Belarus","BLR","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","11.65763","","","","","11.67054","","","","12.03257","12.19933","12.28609","12.39982","12.51839","12.64696","12.74141","13.03774","13.05032","12.99568","12.98762","12.82841","12.5678","12.5387","12.49347","12.56347","12.90583","12.96228","12.89881","","","","","","","","","","15.49044","15.57968","15.59534","15.72727","15.84352","15.72134","15.62298","15.56528","15.58064","15.58523","15.40479","",
"Belgium","BEL","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","12.27881","12.33179","12.10429","12.31697","12.30794","","","12.72231","12.79122","12.81315","12.81496","12.99373","12.86559","13.04407","13.292","13.46707","13.62449","13.80352","13.93669","14.03106","14.07165","","16.54358","16.85159","17.26286","17.59056","","","17.73599","17.92454","18.38311","18.42924","18.61226","18.3641","18.71476","18.94267","18.96905","18.99139","19.01243","19.07273","19.1281","19.22763","19.41551","19.69639","19.76292","19.69991","19.77438","","",
"Belize","BLZ","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.86443","","12.54374","12.84521","12.30353","12.81753","12.76707","12.70682","12.44061","12.43103","12.50614","12.90537","12.75833","12.74405","12.79226","13.43655","13.11358","","",
"Benin","BEN","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","2.39397","2.638","2.95981","2.9187","3.38917","3.52377","3.69652","3.81297","4.22374","4.41778","4.77533","5.26139","5.55465","5.48514","5.4003","5.12051","4.93546","","","","","","","","","","","","6.46044","6.73019","7.39606","7.88156","8.28661","8.67686","","","","","","","11.43755","","12.55958","12.56749","12.80451","12.61455","","","",
"Bermuda","BMU","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","11.49061","11.91522","","","","","","","","","","","","","","","","","","","","","","","","","","12.55695","","","","12.95726","12.90997","12.79745","12.715","12.64683","12.71138","","","","",
"Bhutan","BTN","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","4.00477","","","","","","","","","","","","","","","","7.09656","","","","","","9.36593","9.8287","10.22361","10.62661","11.1986","11.67941","12.15114","12.54778","12.50473","","","","","13.10214","",
"Bolivia","BOL","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","7.68279","7.91092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","5.32841","4.95112","4.98895","5.69845","5.94513","6.41098","6.69669","7.05353","7.22691","7.45591","7.82699","7.90322","","8.24194","8.67503","9.07722","9.32763","9.47247","","","","10.85219","","10.92493","10.89109","11.34828","","","12.0381","12.43167","12.59014","12.64445","12.43245","12.49789","12.48452","12.47957","12.61843","12.53255","12.42366","","","","","","","","","","","",
"Brazil","BRA","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7708","14.01427","13.85001","13.77737","","13.32023","13.80421","13.78226","","13.93065","13.87243","15.21192","15.33561","15.28392","15.37549","15.41401","","",
"British Virgin Islands","VGB","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.07319","15.38542","14.70158","15.09637","","17.28996","","","","","16.13622","","","","","","15.22545","15.40974","","","",
"Brunei Darussalam","BRN","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","11.86329","","10.9985","","","","11.20949","11.36183","","11.28274","","","","","","12.25884","12.48177","12.60186","","","","12.90069","13.21045","13.18353","13.11894","13.22543","13.52631","13.89378","14.09929","14.14716","14.03194","13.96432","14.11899","14.07944","14.34918","14.91537","14.93539","14.87515","14.62773","14.59231","14.46683","14.31391","",
"Bulgaria","BGR","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","11.23153","11.29086","11.37244","11.43744","11.44658","11.24785","11.54758","11.66159","11.31189","11.18228","11.14081","11.28334","11.37523","11.49233","11.66283","12.04559","12.26519","12.38527","12.45987","12.01098","12.13146","11.96709","11.87059","11.80574","12.14505","12.59009","12.69814","12.78739","12.90668","12.89189","12.89208","12.82251","13.2147","13.40838","13.50434","13.61937","13.98136","14.07047","14.1695","14.4258","14.49067","14.52601","14.90899","15.08737","14.94668","14.64491","14.41442","","",
"Burkina Faso","BFA","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","0.82612","0.85954","0.88391","0.92983","0.97141","1.00892","1.05509","1.1044","1.15231","1.23187","1.31551","1.43738","1.56203","1.66475","1.85633","2.04203","2.20962","2.28401","2.43915","2.47177","2.59173","2.6662","2.76636","2.88914","","","","","3.43959","","3.59847","","3.91371","","4.65478","4.93206","5.39211","5.86553","6.28781","6.71056","7.16334","7.47298","7.72632","7.86708","8.25893","8.52559","8.90648","9.27373","",
"Burundi","BDI","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","2.07783","2.01822","1.52762","1.4161","1.45705","1.46858","","","1.60475","1.75951","1.92236","2.2101","","2.96229","3.27302","3.56943","4.03258","4.55003","4.46495","4.51751","4.6714","4.49683","4.78921","","","","","","","","4.4879","4.8518","","5.73809","6.05612","7.43861","8.13422","","9.63227","10.24675","10.69747","10.86521","11.09999","11.40689","","11.62458","11.06933","","",
"Cabo Verde","CPV","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5379","11.26503","11.59432","11.52489","11.41362","11.57098","12.32139","12.34261","12.57143","12.60637","12.79746","13.01834","13.03555","13.48058","13.40017","13.14307","13.04735","12.9541","12.7042","",
"Cambodia","KHM","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","2.23758","3.00429","","","","","","","","","","","","","","","","","","","7.09151","","","","","","","","","7.63022","8.23616","9.32035","9.72065","9.99947","","10.36145","10.53529","10.55445","","","","","","","","","","","",
"Cameroon","CMR","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","6.38011","6.32537","6.38221","6.75175","6.77672","","","","7.2095","7.284","7.2703","7.30877","7.54513","7.51127","7.67307","","7.97537","8.35249","7.8949","8.15243","8.10269","","","","","","","","7.04975","7.28037","8.55507","8.28429","8.42339","8.46141","8.4207","8.19684","8.96774","9.40126","9.87057","","10.60761","11.20685","","11.83732","12.15103","12.10426","","","",
"Canada","CAN","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","13.75052","","","","","","","","","","15.71702","","","16.38439","16.76797","17.12656","17.26372","16.85003","16.95997","16.94639","16.95887","","16.06449","15.96515","15.88034","","","","","","","15.19745","15.17991","15.23289","15.12165","15.23603","15.65993","15.7385","15.80449","15.8914","16.00966","16.15789","","",
"Caribbean small states","CSS","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","10.90838","10.80781","10.94651","10.47588","10.51285","10.88872","11.01365","10.87916","11.30749","11.41472","11.41101","10.799","11.21396","11.23044","11.11824","11.23465","11.30873","11.20525","11.65979","11.40922","11.73797","11.40196","11.74705","11.68233","11.80986","11.77923","11.78581","11.80285","11.78033","11.71923","11.58793","11.96742","11.93935","11.64574","12.30125","12.39755","12.53417","12.68729","13.13525","12.96336","12.85003","12.87428","12.78993","12.63528","12.57652","12.62106","12.73604","","","",
"Cayman Islands","CYM","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
